"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration"
"369","","f","psychophysics","31","30033","0.0-4.0-1.5","response","F","true","key","f","16.684913043478286","500","400","Blue","Blue","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","32","30541","0.0-4.0-2.5","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","31055","0.0-4.0-0.6","fixation","","","","","","","","","","",""
"338","","f","psychophysics","34","31913","0.0-4.0-1.6","response","F","true","key","f","16.689300000000003","500","400","Blue","Blue","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","35","32420","0.0-4.0-2.6","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","32929","0.0-4.0-0.7","fixation","","","","","","","","","","",""
"381","","j","psychophysics","37","33845","0.0-4.0-1.7","response","J","true","key","j","16.688375000000025","500","400","Red","Blue","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","38","34348","0.0-4.0-2.7","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","34856","0.0-4.0-0.8","fixation","","","","","","","","","","",""
"467","","f","psychophysics","40","35837","0.0-4.0-1.8","response","F","true","key","f","16.683333333333227","500","400","Blue","Blue","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","41","36342","0.0-4.0-2.8","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","36855","0.0-4.0-0.9","fixation","","","","","","","","","","",""
"323","","f","psychophysics","43","37683","0.0-4.0-1.9","response","F","true","key","f","16.689789473684197","500","400","Blue","Red","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","44","38189","0.0-4.0-2.9","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","38700","0.0-4.0-0.10","fixation","","","","","","","","","","",""
"417","","j","psychophysics","46","39632","0.0-4.0-1.10","response","J","true","key","j","16.688800000000047","500","400","Red","Red","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","47","40149","0.0-4.0-2.10","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","48","40659","0.0-4.0-0.11","fixation","","","","","","","","","","",""
"321","","j","psychophysics","49","41495","0.0-4.0-1.11","response","J","true","key","j","16.678900000000066","500","400","Red","Red","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","50","42008","0.0-4.0-2.11","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","42517","0.0-4.0-0.12","fixation","","","","","","","","","","",""
"299","","j","psychophysics","52","43327","0.0-4.0-1.12","response","J","true","key","j","16.67370588235302","500","400","Red","Blue","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","53","43829","0.0-4.0-2.12","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","54","44342","0.0-4.0-0.13","fixation","","","","","","","","","","",""
"358","","f","psychophysics","55","45209","0.0-4.0-1.13","response","F","true","key","f","16.684857142857037","500","400","Blue","Blue","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","56","45721","0.0-4.0-2.13","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","46232","0.0-4.0-0.14","fixation","","","","","","","","","","",""
"374","","j","psychophysics","58","47136","0.0-4.0-1.14","response","J","true","key","j","16.688000000000024","500","400","Red","Red","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","59","47642","0.0-4.0-2.14","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","60","48156","0.0-4.0-0.15","fixation","","","","","","","","","","",""
"385","","f","psychophysics","61","49057","0.0-4.0-1.15","response","F","true","key","f","16.680478260869794","500","400","Blue","Blue","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","62","49569","0.0-4.0-2.15","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","63","50075","0.0-4.0-0.16","fixation","","","","","","","","","","",""
"364","","f","psychophysics","64","50960","0.0-4.0-1.16","response","F","true","key","f","16.68377272727296","500","400","Blue","Red","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","65","51472","0.0-4.0-2.16","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","66","51982","0.0-4.0-0.17","fixation","","","","","","","","","","",""
"388","","f","psychophysics","67","52894","0.0-4.0-1.17","response","F","true","key","f","16.688208333333325","500","400","Blue","Blue","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","68","53406","0.0-4.0-2.17","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","69","53916","0.0-4.0-0.18","fixation","","","","","","","","","","",""
"362","","f","psychophysics","70","54796","0.0-4.0-1.18","response","F","true","key","f","16.67813636363644","500","400","Blue","Blue","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","71","55312","0.0-4.0-2.18","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","72","55826","0.0-4.0-0.19","fixation","","","","","","","","","","",""
"227","","f","psychophysics","73","56568","0.0-4.0-1.19","response","F","true","key","f","16.67515384615399","500","400","Blue","Red","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","74","57083","0.0-4.0-2.19","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","75","57593","0.0-4.0-0.20","fixation","","","","","","","","","","",""
"440","","j","psychophysics","76","58548","0.0-4.0-1.20","response","J","true","key","j","17.352440000000062","500","400","Red","Blue","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","77","59062","0.0-4.0-2.20","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","78","59572","0.0-4.0-0.21","fixation","","","","","","","","","","",""
"407","","j","psychophysics","79","60498","0.0-4.0-1.21","response","J","true","key","j","16.676759999999778","500","400","Red","Blue","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","80","61001","0.0-4.0-2.21","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","81","61514","0.0-4.0-0.22","fixation","","","","","","","","","","",""
"327","","j","psychophysics","82","62353","0.0-4.0-1.22","response","F","false","key","j","16.680600000000048","500","400","Blue","Red","false","1000000"
"85","<p style=""font-size:60pt"">Wrong</p>","f","html-keyboard-response","83","62439","0.0-4.0-2.22","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","84","62947","0.0-4.0-0.23","fixation","","","","","","","","","","",""
"701","","j","psychophysics","85","64165","0.0-4.0-1.23","response","J","true","key","j","16.6871666666666","500","400","Red","Blue","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","86","64669","0.0-4.0-2.23","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","87","65179","0.0-4.0-0.24","fixation","","","","","","","","","","",""
"374","","j","psychophysics","88","66059","0.0-4.0-1.24","response","J","true","key","j","16.69090909090896","500","400","Red","Red","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","89","66562","0.0-4.0-2.24","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","90","67072","0.0-4.0-0.25","fixation","","","","","","","","","","",""
"418","","f","psychophysics","91","68010","0.0-4.0-1.25","response","F","true","key","f","16.67564000000013","500","400","Blue","Red","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","92","68514","0.0-4.0-2.25","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","93","69027","0.0-4.0-0.26","fixation","","","","","","","","","","",""
"385","","j","psychophysics","94","69927","0.0-4.0-1.26","response","J","true","key","j","16.67391304347826","500","400","Red","Red","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","95","70438","0.0-4.0-2.26","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","96","70948","0.0-4.0-0.27","fixation","","","","","","","","","","",""
"362","","f","psychophysics","97","71827","0.0-4.0-1.27","response","F","true","key","f","16.6793181818185","500","400","Blue","Red","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","98","72337","0.0-4.0-2.27","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","99","72845","0.0-4.0-0.28","fixation","","","","","","","","","","",""
"420","","j","psychophysics","100","73783","0.0-4.0-1.28","response","J","true","key","j","16.67859999999986","500","400","Red","Red","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","101","74287","0.0-4.0-2.28","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","102","74797","0.0-4.0-0.29","fixation","","","","","","","","","","",""
"285","","j","psychophysics","103","75596","0.0-4.0-1.29","response","J","true","key","j","16.678294117647216","500","400","Red","Blue","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","104","76114","0.0-4.0-2.29","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","105","76630","0.0-4.0-0.30","fixation","","","","","","","","","","",""
"440","","f","psychophysics","106","77587","0.0-4.0-1.30","response","F","true","key","f","17.319115384615053","500","400","Blue","Red","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","107","78099","0.0-4.0-2.30","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","108","78607","0.0-4.0-0.31","fixation","","","","","","","","","","",""
"397","","j","psychophysics","109","79519","0.0-4.0-1.31","response","J","true","key","j","16.67929166666666","500","400","Red","Blue","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","110","80028","0.0-4.0-2.31","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","111","80536","0.0-4.0-0.32","fixation","","","","","","","","","","",""
"362","","j","psychophysics","112","81419","0.0-4.0-1.32","response","F","false","key","j","16.680181818182145","500","400","Blue","Red","false","250"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","113","81922","0.0-4.0-2.32","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","114","82435","0.0-4.0-0.33","fixation","","","","","","","","","","",""
"326","","j","psychophysics","115","83288","0.0-4.0-1.33","response","J","true","key","j","16.68928571428599","500","400","Red","Blue","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","116","83798","0.0-4.0-2.33","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","117","84308","0.0-4.0-0.34","fixation","","","","","","","","","","",""
"389","","j","psychophysics","118","85216","0.0-4.0-1.34","response","J","true","key","j","16.680217391304524","500","400","Red","Red","true","25"
