"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","task","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration","correct_response","is_correct"
"1964","<p style=""font:bold 20pt Arial"">Welcome to Interactive Stroop Test with SOA -- 2 Colors.</p>
      <p style=""margin:50px"">Press any key to begin.</p>","j","html-keyboard-response","0","1966","0.0-0.0","","","","","","","","","","","",""
"25860","
		<div style=""width:800px"">
			<p>You will see text in 2 colors which are individually assigned to a key.</p>
			<ul style=""list-style-type:none"">
			  <li style=""color:Blue"">Blue - key F</li><li style=""color:Red"">Red - key J</li>
			</ul>
			<p>Your task is to press the key as soon as possible when you see a color.</p>
			<p>For example, you should press F key when seeing a word in color <span style=""color:Blue"">Blue</span>, even if the word is <span style=""color:Blue"">Red</span>.</p>
			<p>The experiment will start with a practice for you to be familiar with the task.</p>
			<p>Then a test will start.</p>
			</p></p>	  
			<p>Press any key to begin the practice.</p>
		</div>
      ","f","html-keyboard-response","1","27828","0.0-1.0","","","","","","","","","","","",""
"2536","
  	<div style=""width:800px"">
  		<p>The test will start. Remember to press the key according to the color rather than the word.</p>
  		<p>You can press S if you do not catch the blink color.</p>
  		<p>Press any key to begin.</p>
  	</div>
"354","","f","psychophysics","25","45661","0.0-3.0-1.7","response","key","f","16.680428571428777","500","400","Blue","Blue","true","250","F","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","26","46169","0.0-3.0-2.7","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","46677","0.0-3.0-0.8","fixation","","","","","","","","","","",""
"362","","j","psychophysics","28","47561","0.0-3.0-1.8","response","key","j","16.673863636363834","500","400","Red","Red","true","250","J","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","29","48071","0.0-3.0-2.8","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","48583","0.0-3.0-0.9","fixation","","","","","","","","","","",""
"502","","j","psychophysics","31","49602","0.0-3.0-1.9","response","key","j","16.682200000000012","500","400","Red","Blue","false","25","J","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","32","50112","0.0-3.0-2.9","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","50624","0.0-3.0-0.10","fixation","","","","","","","","","","",""
"571","","f","psychophysics","34","51713","0.0-3.0-1.10","response","key","f","16.683558823529467","500","400","Red","Blue","false","0","J","false"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","35","52216","0.0-3.0-2.10","","","","","","","","","","","",""
