width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,task,response_type,key_press,avg_frame_time,center_x,center_y,color,text,is_congruent,duration,is_soa,correct_response,is_correct,reaction_time
,,,,,,,,,,,html-keyboard-response,36,132685,0.0-4.0-2.10,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,37,133186,0.0-4.0-0.11,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,38,134685,0.0-4.0-1.11,989,,y,practise,key,y,16.55172414,500,400,Yellow,Yellow,,200,,Y,TRUE,
,,,,,,,,,,,html-keyboard-response,39,135187,0.0-4.0-2.11,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,40,135689,0.0-4.0-0.12,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,41,137217,0.0-4.0-1.12,1021,,b,practise,key,b,16.66666667,500,400,Blue,Blue,,0,,B,TRUE,
,,,,,,,,,,,html-keyboard-response,42,137719,0.0-4.0-2.12,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,43,138220,0.0-4.0-0.13,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,44,139798,0.0-4.0-1.13,1073,,g,practise,key,g,16.55555556,500,400,Green,Yellow,,200,,G,TRUE,
,,,,,,,,,,,html-keyboard-response,45,140300,0.0-4.0-2.13,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,46,140801,0.0-4.0-0.14,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,47,142277,0.0-4.0-1.14,970,,g,practise,key,g,16.68421053,500,400,Green,Green,,200,,G,TRUE,
,,,,,,,,,,,html-keyboard-response,48,142779,0.0-4.0-2.14,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,49,143280,0.0-4.0-0.15,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,50,144688,0.0-4.0-1.15,902,,r,practise,key,r,16.52830189,500,400,Red,Red,,0,,R,TRUE,
,,,,,,,,,,,html-keyboard-response,51,145190,0.0-4.0-2.15,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,52,146780,0.0-5.0,1589,"
  	<div style=""width:800px"">
  		<p>The test will start. Remember to press the key according to the color rather than the word.</p>
  		<p>Press any key to begin.</p>
  	</div>
  	", ,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,53,147282,0.0-6.0-0.0,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,54,148903,0.0-6.0-1.0,1111,,r,response,key,r,16.63076923,500,400,Red,Yellow,FALSE,0,FALSE,R,TRUE,1111
,,,,,,,,,,,html-keyboard-response,55,149405,0.0-6.0-2.0,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,56,149907,0.0-6.0-0.1,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,57,151204,0.0-6.0-1.1,792,,y,response,key,y,16.65217391,500,400,Yellow,Green,FALSE,0,FALSE,Y,TRUE,792
,,,,,,,,,,,html-keyboard-response,58,151706,0.0-6.0-2.1,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,59,152209,0.0-6.0-0.2,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,60,153510,0.0-6.0-1.2,796,,g,response,key,g,16.65217391,500,400,Green,Green,TRUE,0,FALSE,G,TRUE,796
,,,,,,,,,,,html-keyboard-response,61,154011,0.0-6.0-2.2,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,62,154514,0.0-6.0-0.3,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,63,156189,0.0-6.0-1.3,1169,,g,response,key,g,16.66666667,500,400,Green,Red,FALSE,200,TRUE,G,TRUE,969
,,,,,,,,,,,html-keyboard-response,64,156690,0.0-6.0-2.3,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,65,157192,0.0-6.0-0.4,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
,,,,,,,,,,,psychophysics,66,158590,0.0-6.0-1.4,893,,r,response,key,r,16.67307692,500,400,Red,Red,TRUE,200,TRUE,R,TRUE,693
,,,,,,,,,,,html-keyboard-response,67,159092,0.0-6.0-2.4,null,"<p style=""font-size:60pt"">Correct</p>",null,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,68,159594,0.0-6.0-0.5,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,,,,,,,,,,
