"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration","is_soa","correct_response","is_correct","reaction_time"
"","","","","","","","","","","","psychophysics","95","119535","0.0-5.0-1.14","940","","y","response","key","y","33.2962962962963","500","400","Yellow","Yellow","true","200","true","Y","true","740"
"","","","","","","","","","","","html-keyboard-response","96","120194","0.0-5.0-2.14","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","97","120698","0.0-5.0-0.15","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","98","122038","0.0-5.0-1.15","830","","y","response","key","y","33.375","500","400","Yellow","Green","false","0","false","Y","true","830"
"","","","","","","","","","","","html-keyboard-response","99","122541","0.0-5.0-2.15","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","100","123043","0.0-5.0-0.16","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","101","124448","0.0-5.0-1.16","895","","g","response","key","g","33.30769230769231","500","400","Green","Red","false","0","false","G","true","895"
"","","","","","","","","","","","html-keyboard-response","102","124951","0.0-5.0-2.16","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","103","125453","0.0-5.0-0.17","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","104","126942","0.0-5.0-1.17","977","","y","response","key","y","33.310344827586206","500","400","Yellow","Green","false","200","true","Y","true","777"
"","","","","","","","","","","","html-keyboard-response","105","127446","0.0-5.0-2.17","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","106","127949","0.0-5.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","107","129278","0.0-5.0-1.18","818","","y","response","key","y","33.291666666666664","500","400","Yellow","Red","false","0","false","Y","true","818"
"","","","","","","","","","","","html-keyboard-response","108","129780","0.0-5.0-2.18","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","109","130283","0.0-5.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","110","131935","0.0-5.0-1.19","1143","","g","response","key","g","33.333333333333336","500","400","Green","Green","true","200","true","G","true","943"
"","","","","","","","","","","","html-keyboard-response","111","132438","0.0-5.0-2.19","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","112","132940","0.0-5.0-0.20","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","113","134409","0.0-5.0-1.20","960","","r","response","key","r","33.357142857142854","500","400","Red","Red","true","0","false","R","true","960"
"","","","","","","","","","","","html-keyboard-response","114","134912","0.0-5.0-2.20","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","115","135414","0.0-5.0-0.21","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","116","137198","0.0-5.0-1.21","1275","","r","response","key","r","33.32432432432432","500","400","Red","Blue","false","0","false","R","true","1275"
"","","","","","","","","","","","html-keyboard-response","117","137699","0.0-5.0-2.21","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","118","138201","0.0-5.0-0.22","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","119","139880","0.0-5.0-1.22","1170","","y","response","key","y","33.3235294117647","500","400","Yellow","Red","false","0","false","Y","true","1170"
"","","","","","","","","","","","html-keyboard-response","120","140382","0.0-5.0-2.22","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","121","140885","0.0-5.0-0.23","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","122","142160","0.0-5.0-1.23","766","","y","response","key","y","33.36363636363637","500","400","Yellow","Red","false","0","false","Y","true","766"
"","","","","","","","","","","","html-keyboard-response","123","142663","0.0-5.0-2.23","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","124","143165","0.0-5.0-0.24","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","125","144642","0.0-5.0-1.24","968","","b","response","key","b","33.32142857142857","500","400","Blue","Blue","true","200","true","B","true","768"
"","","","","","","","","","","","html-keyboard-response","126","145145","0.0-5.0-2.24","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","127","145647","0.0-5.0-0.25","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","128","147160","0.0-5.0-1.25","1004","","g","response","key","g","38.96","500","400","Green","Red","false","0","false","G","true","1004"
"","","","","","","","","","","","html-keyboard-response","129","147665","0.0-5.0-2.25","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","130","148169","0.0-5.0-0.26","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","131","149909","0.0-5.0-1.26","1230","","b","response","key","b","34.714285714285715","500","400","Blue","Red","false","200","true","B","true","1030"
"","","","","","","","","","","","html-keyboard-response","132","150413","0.0-5.0-2.26","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","133","150915","0.0-5.0-0.27","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","134","152522","0.0-5.0-1.27","1097","","r","response","key","r","33.34375","500","400","Red","Green","false","200","true","R","true","897"
"","","","","","","","","","","","html-keyboard-response","135","153024","0.0-5.0-2.27","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","136","153526","0.0-5.0-0.28","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","137","155001","0.0-5.0-1.28","965","","r","response","key","r","33.32142857142857","500","400","Red","Yellow","false","200","true","R","true","765"
"","","","","","","","","","","","html-keyboard-response","138","155503","0.0-5.0-2.28","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","139","156006","0.0-5.0-0.29","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","140","157376","0.0-5.0-1.29","860","","y","response","key","y","33.32","500","400","Yellow","Yellow","true","0","false","Y","true","860"
"","","","","","","","","","","","html-keyboard-response","141","157878","0.0-5.0-2.29","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","142","158381","0.0-5.0-0.30","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","143","160295","0.0-5.0-1.30","1404","","g","response","key","g","33.31707317073171","500","400","Green","Green","true","200","true","G","true","1204"
"","","","","","","","","","","","html-keyboard-response","144","160797","0.0-5.0-2.30","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","145","161300","0.0-5.0-0.31","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","146","162795","0.0-5.0-1.31","986","","g","response","key","g","33.310344827586206","500","400","Green","Green","true","200","true","G","true","786"
"","","","","","","","","","","","html-keyboard-response","147","163297","0.0-5.0-2.31","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","148","163799","0.0-5.0-0.32","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","149","165329","0.0-5.0-1.32","1021","","r","response","key","r","33.3","500","400","Red","Red","true","200","true","R","true","821"
"","","","","","","","","","","","html-keyboard-response","150","165831","0.0-5.0-2.32","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","151","166334","0.0-5.0-0.33","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","152","167994","0.0-5.0-1.33","1146","","r","response","key","r","33.294117647058826","500","400","Red","Green","false","200","true","R","true","946"
"","","","","","","","","","","","html-keyboard-response","153","168497","0.0-5.0-2.33","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","154","169000","0.0-5.0-0.34","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","155","171050","0.0-5.0-1.34","1540","","g","response","key","g","33.333333333333336","500","400","Green","Green","true","0","false","G","true","1540"
"","","","","","","","","","","","html-keyboard-response","156","171552","0.0-5.0-2.34","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","157","172054","0.0-5.0-0.35","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","158","173560","0.0-5.0-1.35","998","","g","response","key","g","33.3448275862069","500","400","Green","Blue","false","0","false","G","true","998"
"","","","","","","","","","","","html-keyboard-response","159","174062","0.0-5.0-2.35","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","160","174564","0.0-5.0-0.36","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","161","176168","0.0-5.0-1.36","1095","","y","response","key","y","33.34375","500","400","Yellow","Blue","false","200","true","Y","true","895"
"","","","","","","","","","","","html-keyboard-response","162","176671","0.0-5.0-2.36","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","163","177173","0.0-5.0-0.37","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","164","179065","0.0-5.0-1.37","1384","","r","response","key","r","33.36585365853659","500","400","Red","Blue","false","200","true","R","true","1184"
"","","","","","","","","","","","html-keyboard-response","165","179568","0.0-5.0-2.37","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","166","180195","0.0-5.0-0.38","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","167","181685","0.0-5.0-1.38","978","","r","response","key","r","33.357142857142854","500","400","Red","Red","true","200","true","R","true","778"
"","","","","","","","","","","","html-keyboard-response","168","182189","0.0-5.0-2.38","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","169","182692","0.0-5.0-0.39","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","170","184057","0.0-5.0-1.39","854","","y","response","key","y","33.32","500","400","Yellow","Yellow","true","0","false","Y","true","854"
