"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration","is_soa","correct_response","is_correct","reaction_time"
"","","","","","","","","","","","html-keyboard-response","132","144073","0.0-5.0-2.26","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","133","144577","0.0-5.0-0.27","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","134","145823","0.0-5.0-1.27","735","","b","response","key","b","16.66545454545452","500","400","Blue","Yellow","false","0","false","B","true","735"
"","","","","","","","","","","","html-keyboard-response","135","146337","0.0-5.0-2.27","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","136","146849","0.0-5.0-0.28","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","137","147990","0.0-5.0-1.28","630","","y","response","key","y","16.663078947368806","500","400","Yellow","Blue","false","0","false","Y","true","630"
"","","","","","","","","","","","html-keyboard-response","138","148497","0.0-5.0-2.28","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","139","149012","0.0-5.0-0.29","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","140","150315","0.0-5.0-1.29","788","","b","response","key","b","16.662208333333183","500","400","Blue","Yellow","false","0","false","B","true","788"
"","","","","","","","","","","","html-keyboard-response","141","150825","0.0-5.0-2.29","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","142","151337","0.0-5.0-0.30","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","143","152473","0.0-5.0-1.30","604","","r","response","key","r","16.663405405405463","500","400","Red","Red","true","200","true","R","true","404"
"","","","","","","","","","","","html-keyboard-response","144","152979","0.0-5.0-2.30","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","145","153484","0.0-5.0-0.31","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","146","154688","0.0-5.0-1.31","692","","y","response","key","y","16.6626904761901","500","400","Blue","Yellow","false","0","false","B","false","692"
"","","","","","","","","","","","html-keyboard-response","147","155200","0.0-5.0-2.31","null","<p style=""font-size:60pt"">Wrong</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","148","155714","0.0-5.0-0.32","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","149","156975","0.0-5.0-1.32","751","","r","response","key","r","16.663066666666417","500","400","Red","Red","true","0","false","R","true","751"
"","","","","","","","","","","","html-keyboard-response","150","157480","0.0-5.0-2.32","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","151","157989","0.0-5.0-0.33","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","152","159220","0.0-5.0-1.33","720","","b","response","key","b","16.664906976744533","500","400","Blue","Yellow","false","0","false","B","true","720"
"","","","","","","","","","","","html-keyboard-response","153","159724","0.0-5.0-2.33","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","154","160228","0.0-5.0-0.34","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","155","161451","0.0-5.0-1.34","689","","r","response","key","r","17.05892857142871","500","400","Red","Red","true","200","true","R","true","489"
"","","","","","","","","","","","html-keyboard-response","156","161961","0.0-5.0-2.34","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","157","162465","0.0-5.0-0.35","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","158","163421","0.0-5.0-1.35","442","","r","response","key","r","17.304961538461683","500","400","Red","Red","true","200","true","R","true","242"
"","","","","","","","","","","","html-keyboard-response","159","163933","0.0-5.0-2.35","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","160","164441","0.0-5.0-0.36","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","161","165566","0.0-5.0-1.36","606","","y","response","key","y","16.66116216216186","500","400","Yellow","Blue","false","200","true","Y","true","406"
"","","","","","","","","","","","html-keyboard-response","162","166081","0.0-5.0-2.36","null","<p style=""font-size:60pt"">Correct</p>","null","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","163","166584","0.0-5.0-0.37","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","",""
"","","","","","","","","","","","psychophysics","164","167674","0.0-5.0-1.37","574","","r","response","key","r","16.66049999999985","500","400","Red","Green","false","200","true","R","true","374"
