"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","73","71683","0.0-5.0-0.15","","fixation","","","","","","","","","",""
"950","","g","psychophysics","74","73157","0.0-5.0-1.15","","response","G","true","key","g","16.683859649122734","500","400","Green","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","75","73660","0.0-5.0-2.15","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","76","74162","0.0-5.0-0.16","","fixation","","","","","","","","","",""
"840","","r","psychophysics","77","75533","0.0-5.0-1.16","","response","B","false","key","r","16.68057692307719","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","78","76034","0.0-5.0-2.16","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","79","76536","0.0-5.0-0.17","","fixation","","","","","","","","","",""
"1864","","b","psychophysics","80","78911","0.0-5.0-1.17","","response","B","true","key","b","16.68249999999989","500","400","Blue","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","81","79425","0.0-5.0-2.17","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","82","79928","0.0-5.0-0.18","","fixation","","","","","","","","","",""
"645","","y","psychophysics","83","81085","0.0-5.0-1.18","","response","Y","true","key","y","16.682000000000325","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","84","81587","0.0-5.0-2.18","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","85","82091","0.0-5.0-0.19","","fixation","","","","","","","","","",""
"1093","","y","psychophysics","86","83697","0.0-5.0-1.19","","response","Y","true","key","y","16.68486153846159","500","400","Yellow","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","87","84202","0.0-5.0-2.19","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","88","84704","0.0-5.0-0.20","","fixation","","","","","","","","","",""
"616","","y","psychophysics","89","85840","0.0-5.0-1.20","","response","Y","true","key","y","16.682105263157847","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","90","86343","0.0-5.0-2.20","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","91","86845","0.0-5.0-0.21","","fixation","","","","","","","","","",""
"522","","g","psychophysics","92","87871","0.0-5.0-1.21","","response","G","true","key","g","16.69016666666624","500","400","Green","Green","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","93","88372","0.0-5.0-2.21","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","94","88874","0.0-5.0-0.22","","fixation","","","","","","","","","",""
"470","","g","psychophysics","95","89854","0.0-5.0-1.22","","response","G","true","key","g","16.687793103448147","500","400","Green","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","96","90356","0.0-5.0-2.22","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","97","90857","0.0-5.0-0.23","","fixation","","","","","","","","","",""
"395","","g","psychophysics","98","91761","0.0-5.0-1.23","","response","G","true","key","g","16.701833333333223","500","400","Green","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","99","92262","0.0-5.0-2.23","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","100","92766","0.0-5.0-0.24","","fixation","","","","","","","","","",""
"664","","y","psychophysics","101","93940","0.0-5.0-1.24","","response","Y","true","key","y","16.686128205128345","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","102","94441","0.0-5.0-2.24","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","103","94943","0.0-5.0-0.25","","fixation","","","","","","","","","",""
"984","","b","psychophysics","104","96430","0.0-5.0-1.25","","response","B","true","key","b","16.680881355932303","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","105","96932","0.0-5.0-2.25","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","106","97434","0.0-5.0-0.26","","fixation","","","","","","","","","",""
"455","","b","psychophysics","107","98397","0.0-5.0-1.26","","response","B","true","key","b","16.678750000000168","500","400","Blue","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","108","98917","0.0-5.0-2.26","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","109","99419","0.0-5.0-0.27","","fixation","","","","","","","","","",""
"639","","r","psychophysics","110","100575","0.0-5.0-1.27","","response","R","true","key","r","16.683179487179494","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","111","101078","0.0-5.0-2.27","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","112","101582","0.0-5.0-0.28","","fixation","","","","","","","","","",""
